
----------------------------------
Learning...
0: w1=1.000000, w2=1.000000, w3=1.000000
280: cost=0.276685, w1=-2.455100, w2=-0.329247, w3=1.177935
281: cost=0.276107, w1=-2.462681, w2=-0.328707, w3=1.179246
282: cost=0.275532, w1=-2.470245, w2=-0.328167, w3=1.180552
283: cost=0.274959, w1=-2.477792, w2=-0.327628, w3=1.181855
284: cost=0.274388, w1=-2.485323, w2=-0.327090, w3=1.183153
285: cost=0.273821, w1=-2.492838, w2=-0.326551, w3=1.184448
286: cost=0.273255, w1=-2.500337, w2=-0.326013, w3=1.185740
287: cost=0.272692, w1=-2.507819, w2=-0.325476, w3=1.187027
288: cost=0.272132, w1=-2.515286, w2=-0.324939, w3=1.188311
289: cost=0.271574, w1=-2.522736, w2=-0.324402, w3=1.189591
290: cost=0.271019, w1=-2.530170, w2=-0.323866, w3=1.190867
291: cost=0.270466, w1=-2.537589, w2=-0.323330, w3=1.192140
292: cost=0.269915, w1=-2.544991, w2=-0.322795, w3=1.193409
293: cost=0.269367, w1=-2.552378, w2=-0.322260, w3=1.194675
294: cost=0.268821, w1=-2.559749, w2=-0.321726, w3=1.195937
295: cost=0.268277, w1=-2.567104, w2=-0.321193, w3=1.197196
296: cost=0.267736, w1=-2.574444, w2=-0.320659, w3=1.198451
297: cost=0.267197, w1=-2.581768, w2=-0.320127, w3=1.199703
298: cost=0.266661, w1=-2.589077, w2=-0.319595, w3=1.200952
299: cost=0.266126, w1=-2.596370, w2=-0.319064, w3=1.202198
300: cost=0.265594, w1=-2.603648, w2=-0.318533, w3=1.203440
301: cost=0.265065, w1=-2.610910, w2=-0.318003, w3=1.204678
302: cost=0.264537, w1=-2.618158, w2=-0.317473, w3=1.205914
303: cost=0.264012, w1=-2.625390, w2=-0.316944, w3=1.207147
304: cost=0.263489, w1=-2.632607, w2=-0.316416, w3=1.208376
305: cost=0.262968, w1=-2.639809, w2=-0.315889, w3=1.209602
306: cost=0.262450, w1=-2.646996, w2=-0.315362, w3=1.210825
307: cost=0.261934, w1=-2.654169, w2=-0.314836, w3=1.212045
308: cost=0.261419, w1=-2.661326, w2=-0.314310, w3=1.213262
309: cost=0.260907, w1=-2.668469, w2=-0.313786, w3=1.214476
