
----------------------------------
Learning...
101: cost=0.079423, w1=0.590963, w2=0.217400
102: cost=0.078836, w1=0.592478, w2=0.216595
103: cost=0.078254, w1=0.593986, w2=0.215794
104: cost=0.077675, w1=0.595489, w2=0.214995
105: cost=0.077101, w1=0.596986, w2=0.214199
106: cost=0.076532, w1=0.598478, w2=0.213406
107: cost=0.075966, w1=0.599964, w2=0.212616
108: cost=0.075405, w1=0.601445, w2=0.211829
109: cost=0.074848, w1=0.602920, w2=0.211045
110: cost=0.074295, w1=0.604390, w2=0.210264
111: cost=0.073746, w1=0.605854, w2=0.209486
112: cost=0.073201, w1=0.607313, w2=0.208710
113: cost=0.072660, w1=0.608766, w2=0.207938
114: cost=0.072123, w1=0.610214, w2=0.207168
115: cost=0.071590, w1=0.611657, w2=0.206401
116: cost=0.071061, w1=0.613095, w2=0.205637
117: cost=0.070536, w1=0.614527, w2=0.204876
118: cost=0.070015, w1=0.615954, w2=0.204118
119: cost=0.069497, w1=0.617375, w2=0.203362
120: cost=0.068984, w1=0.618791, w2=0.202610
121: cost=0.068474, w1=0.620202, w2=0.201860
122: cost=0.067968, w1=0.621608, w2=0.201113
123: cost=0.067466, w1=0.623009, w2=0.200368
124: cost=0.066967, w1=0.624404, w2=0.199627
125: cost=0.066473, w1=0.625794, w2=0.198888
126: cost=0.065981, w1=0.627179, w2=0.198151
127: cost=0.065494, w1=0.628559, w2=0.197418
128: cost=0.065010, w1=0.629934, w2=0.196687
129: cost=0.064530, w1=0.631304, w2=0.195959
130: cost=0.064053, w1=0.632669, w2=0.195234
131: cost=0.063579, w1=0.634028, w2=0.194511
132: cost=0.063110, w1=0.635383, w2=0.193791
133: cost=0.062643, w1=0.636733, w2=0.193074
134: cost=0.062180, w1=0.638077, w2=0.192359
135: cost=0.061721, w1=0.639417, w2=0.191647
136: cost=0.061265, w1=0.640752, w2=0.190938
137: cost=0.060812, w1=0.642081, w2=0.190231
138: cost=0.060363, w1=0.643406, w2=0.189527
